Timestamp,Accuracy
20240730-102000,81.34342432022095
20240730-162400,81.49503469467163
20240730-165632,81.40664100646973
20240730-175127,83.96549224853516
20240730-195829,83.75682234764099
20240730-205936,83.75179171562195
20240730-214945,83.81668329238892
20240731-010603,83.75962376594543
20240731-015907,83.66116285324097
20240731-080716,83.7131917476654
20240731-084821,84.08297300338745
20240731-101225,83.95318388938904
20240731-133544,83.42899680137634
20240731-150239,84.01864171028137
20240731-183324,83.90339612960815
20240731-192950,83.831787109375
20240731-205458,84.03878211975098
20240801-075706,83.95206928253174
20240801-110128,83.8452160358429
20240801-163923,84.01080965995789
20240801-210533,83.99178981781006
20240802-005702,84.08633470535278
